Date,Qt-1,Pt,Qt
1994-09-24,2.17,0.0,2.17
1994-09-25,2.17,0.0,2.17
1994-09-26,2.17,0.0,2.17
1994-09-27,2.17,0.0,2.17
1994-09-28,2.17,0.0,2.1
1994-09-29,2.1,9.728,2.38
1994-09-30,2.38,1.4049999999999998,2.24
1994-10-01,2.24,3.064,2.24
1994-10-02,2.24,8.993,2.58
1994-10-03,2.58,0.895,2.31
1994-10-04,2.31,0.0,2.17
1994-10-05,2.17,0.0,2.1
1994-10-06,2.1,0.0,2.03
1994-10-07,2.03,0.0,2.03
1994-10-08,2.03,0.0,2.03
1994-10-09,2.03,0.0,2.03
1994-10-10,2.03,0.0,2.03
1994-10-11,2.03,0.0,2.17
1994-10-12,2.17,0.0,2.17
1994-10-13,2.17,0.0,2.17
1994-10-14,2.17,0.0,2.1
1994-10-15,2.1,25.835,4.8
1994-10-16,4.8,14.06,3.84
1994-10-17,3.84,0.19,2.67
1994-10-18,2.67,0.38,2.38
1994-10-19,2.38,0.0,2.17
1994-10-20,2.17,7.048,3.26
1994-10-21,3.26,0.999,3.22
1994-10-22,3.22,6.535,2.84
1994-10-23,2.84,2.323,6.28
1994-10-24,6.28,3.116,5.04
1994-10-25,5.04,0.252,4.46
1994-10-26,4.46,0.042,3.52
1994-10-27,3.52,0.0,2.96
1994-10-28,2.96,0.19,2.67
1994-10-29,2.67,4.654999999999999,2.9
1994-10-30,2.9,0.968,3.88
1994-10-31,3.88,0.0,3.54
1994-11-01,3.54,0.0,3.24
1994-11-02,3.24,0.0,3.02
1994-11-03,3.02,0.0,2.95
1994-11-04,2.95,0.0,2.88
1994-11-05,2.88,68.745,34.4
1994-11-06,34.4,69.97,53.0
1994-11-07,53.0,22.875,25.7
1994-11-08,25.7,1.56,15.6
1994-11-09,15.6,0.042,12.0
1994-11-10,12.0,0.0,10.1
1994-11-11,10.1,0.0,10.8
1994-11-12,10.8,0.0,10.8
1994-11-13,10.8,0.0,12.9
1994-11-14,12.9,0.042,12.0
1994-11-15,12.0,4.383,11.5
1994-11-16,11.5,2.515,10.5
1994-11-17,10.5,0.273,9.95
1994-11-18,9.95,0.4,10.6
1994-11-19,10.6,0.0,8.74
1994-11-20,8.74,0.0,7.61
1994-11-21,7.61,1.18,7.45
1994-11-22,7.45,3.138,7.82
1994-11-23,7.82,22.99,13.0
1994-11-24,13.0,6.96,18.1
1994-11-25,18.1,4.21,12.0
1994-11-26,12.0,0.315,9.04
1994-11-27,9.04,0.0,6.59
1994-11-28,6.59,0.0,6.98
1994-11-29,6.98,3.54,5.86
1994-11-30,5.86,0.0,5.36
1994-12-01,5.36,0.0,5.12
1994-12-02,5.12,0.0,4.72
1994-12-03,4.72,2.849,4.76
1994-12-04,4.76,7.889999999999999,4.72
1994-12-05,4.72,2.26,4.52
1994-12-06,4.52,0.0,4.24
1994-12-07,4.24,0.0,4.24
1994-12-08,4.24,0.0,4.05
1994-12-09,4.05,0.0,3.86
1994-12-10,3.86,0.0,3.86
1994-12-11,3.86,0.0,3.48
1994-12-12,3.48,0.0,3.48
1994-12-13,3.48,0.0,3.48
1994-12-14,3.48,0.0,3.48
1994-12-15,3.48,0.0,3.48
1994-12-16,3.48,0.0,3.48
1994-12-17,3.48,0.42,3.48
1994-12-18,3.48,2.46,3.48
1994-12-19,3.48,0.672,3.48
1994-12-20,3.48,9.615,3.83
1994-12-21,3.83,5.49,4.14
1994-12-22,4.14,0.0,4.24
1994-12-23,4.24,0.0,4.24
1994-12-24,4.24,0.0,4.24
1994-12-25,4.24,5.093,4.24
1994-12-26,4.24,0.0,4.24
1994-12-27,4.24,0.0,4.24
1994-12-28,4.24,0.0,4.24
1994-12-29,4.24,0.0,5.14
1994-12-30,5.14,1.331,5.24
1994-12-31,5.24,0.042,4.52
1995-01-01,4.52,0.0,4.14
1995-01-02,4.14,0.0,3.86
1995-01-03,3.86,0.0,3.86
1995-01-04,3.86,0.0,3.86
1995-01-05,3.86,0.945,3.86
1995-01-06,3.86,2.155,3.76
1995-01-07,3.76,0.0,3.58
1995-01-08,3.58,0.0,3.48
1995-01-09,3.48,0.91,3.48
1995-01-10,3.48,0.632,3.29
1995-01-11,3.29,8.947,4.21
1995-01-12,4.21,0.38,3.96
1995-01-13,3.96,0.0,3.76
1995-01-14,3.76,0.0,3.57
1995-01-15,3.57,0.0,3.38
1995-01-16,3.38,1.055,3.29
1995-01-17,3.29,10.832,4.37
1995-01-18,4.37,0.935,3.96
1995-01-19,3.96,2.636,3.67
1995-01-20,3.67,8.021999999999998,3.96
1995-01-21,3.96,10.537,4.43
1995-01-22,4.43,0.42,4.34
1995-01-23,4.34,0.042,4.05
1995-01-24,4.05,0.0,4.05
1995-01-25,4.05,0.0,4.14
1995-01-26,4.14,0.0,4.62
1995-01-27,4.62,0.0,4.52
1995-01-28,4.52,0.0,4.34
1995-01-29,4.34,0.0,4.52
1995-01-30,4.52,0.0,4.43
1995-01-31,4.43,0.0,4.24
1995-02-01,4.24,0.042,4.14
1995-02-02,4.14,0.147,3.86
1995-02-03,3.86,0.042,3.67
1995-02-04,3.67,0.42,3.67
1995-02-05,3.67,27.91,4.21
1995-02-06,4.21,0.909,4.05
1995-02-07,4.05,0.0,4.14
1995-02-08,4.14,1.332,5.71
1995-02-09,5.71,0.0,5.78
1995-02-10,5.78,0.0,5.0
1995-02-11,5.0,0.0,4.62
1995-02-12,4.62,0.966,4.43
1995-02-13,4.43,0.042,4.24
1995-02-14,4.24,0.042,4.14
1995-02-15,4.14,1.88,4.05
1995-02-16,4.05,4.352,4.05
1995-02-17,4.05,0.379,3.86
1995-02-18,3.86,2.884,3.86
1995-02-19,3.86,0.105,3.86
1995-02-20,3.86,0.0,3.86
1995-02-21,3.86,0.0,3.67
1995-02-22,3.67,0.0,3.48
1995-02-23,3.48,8.005,4.24
